Five-Year Age Groups Code	Race Code	Hispanic Origin Code	State Code	Gender Code	Deaths	Population
10-14	2054-5	2186-2	36	M	12	98363
10-14	2106-3	2186-2	36	F	28	292458
10-14	2106-3	2186-2	36	M	41	308241
10-14	2054-5	2186-2	37	M	23	80086
10-14	2106-3	2186-2	37	F	17	179679
10-14	2106-3	2186-2	37	M	31	188866
10-14	2054-5	2186-2	39	F	12	59086
10-14	2054-5	2186-2	39	M	15	60382
10-14	2106-3	2186-2	39	F	40	275488
10-14	2106-3	2186-2	39	M	46	290764
10-14	2106-3	2186-2	40	F	15	76473
10-14	2106-3	2186-2	40	M	22	80656
10-14	2106-3	2186-2	41	F	10	79665
10-14	2106-3	2186-2	41	M	18	83406
10-14	2054-5	2186-2	42	M	16	53623
10-14	2106-3	2186-2	42	F	36	265648
10-14	2106-3	2186-2	42	M	39	278625
10-14	2054-5	2186-2	45	M	14	49064
10-14	2106-3	2186-2	45	M	14	89938
10-14	2054-5	2186-2	47	M	13	42558
10-14	2106-3	2186-2	47	F	23	142664
10-14	2106-3	2186-2	47	M	37	149497
10-14	2106-3	2135-2	48	F	52	455524
10-14	2106-3	2135-2	48	M	77	468012
10-14	2054-5	2186-2	48	F	17	123934
10-14	2054-5	2186-2	48	M	29	127596
10-14	2106-3	2186-2	48	F	31	335283
10-14	2106-3	2186-2	48	M	67	352087
10-14	2106-3	2186-2	49	M	23	99950
10-14	2054-5	2186-2	51	F	14	56705
10-14	2106-3	2186-2	51	F	18	148412
10-14	2106-3	2186-2	51	M	10	154892
10-14	2106-3	2186-2	53	F	17	133750
10-14	2106-3	2186-2	53	M	23	140839
10-14	2106-3	2186-2	54	F	12	47316
10-14	2106-3	2186-2	54	M	13	49993
10-14	2054-5	2186-2	55	M	12	18102
10-14	2106-3	2186-2	55	M	27	140192
15-19	2054-5	2186-2	1	F	26	50550
15-19	2054-5	2186-2	1	M	57	50449
15-19	2106-3	2186-2	1	F	38	95926
15-19	2106-3	2186-2	1	M	92	100236
15-19	2106-3	2135-2	4	F	22	85964
